to,from,subject_category,object_category,predicate,evidence_count,aggregator_knowledge_source,primary_knowledge_source,publications,provided_by,link_category,id.from,label.from,category.from,taxon.from,taxon_label.from,db.from,id.to,label.to,category.to,taxon.to,taxon_label.to,db.to
CL:0000059,MONDO:0017795,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0017795,ameloblastoma,biolink:Disease,"","",MONDO,CL:0000059,ameloblast,biolink:Cell,"","",CL
CL:0000062,MONDO:0045053,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0045053,osteogenic neoplasm,biolink:Disease,"","",MONDO,CL:0000062,osteoblast,biolink:Cell,"","",CL
CL:0000066,MONDO:0004993,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0004993,carcinoma,biolink:Disease,"","",MONDO,CL:0000066,epithelial cell,biolink:Cell,"","",CL
CL:0000066,HP:0032599,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0032599,Abnormal renal tubular epithelial morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000066,epithelial cell,biolink:Cell,"","",CL
CL:0000066,MONDO:0005626,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0005626,epithelial neoplasm,biolink:Disease,"","",MONDO,CL:0000066,epithelial cell,biolink:Cell,"","",CL
CL:0000066,MONDO:0004534,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0004534,microglandular adenosis of breast,biolink:Disease,"","",MONDO,CL:0000066,epithelial cell,biolink:Cell,"","",CL
CL:0000066,MONDO:0004328,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0004328,maxillary sinus adenocarcinoma,biolink:Disease,"","",MONDO,CL:0000066,epithelial cell,biolink:Cell,"","",CL
CL:0000066,MONDO:0002418,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0002418,ethmoid sinus adenocarcinoma,biolink:Disease,"","",MONDO,CL:0000066,epithelial cell,biolink:Cell,"","",CL
CL:0000071,MONDO:0006500,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0006500,hemangioma,biolink:Disease,"","",MONDO,CL:0000071,blood vessel endothelial cell,biolink:Cell,"","",CL
CL:0000076,MONDO:0005096,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0005096,squamous cell carcinoma,biolink:Disease,"","",MONDO,CL:0000076,squamous epithelial cell,biolink:Cell,"","",CL
CL:0000076,MONDO:0024475,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0024475,squamous cell intraepithelial neoplasia,biolink:Disease,"","",MONDO,CL:0000076,squamous epithelial cell,biolink:Cell,"","",CL
CL:0000084,HP:0002843,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0002843,Abnormal T cell morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000084,T cell,biolink:Cell,"","",CL
CL:0000084,MONDO:0015760,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0015760,T-cell non-Hodgkin lymphoma,biolink:Disease,"","",MONDO,CL:0000084,T cell,biolink:Cell,"","",CL
CL:0000084,MONDO:0003539,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0003539,T-cell adult acute lymphocytic leukemia,biolink:Disease,"","",MONDO,CL:0000084,T cell,biolink:Cell,"","",CL
CL:0000084,MONDO:0019475,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0019475,subcutaneous panniculitis-like T-cell lymphoma,biolink:Disease,"","",MONDO,CL:0000084,T cell,biolink:Cell,"","",CL
CL:0000084,MONDO:0006418,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0006418,small intestinal enteropathy-associated T-cell lymphoma,biolink:Disease,"","",MONDO,CL:0000084,T cell,biolink:Cell,"","",CL
CL:0000084,HP:0011840,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0011840,Abnormality of T cell physiology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000084,T cell,biolink:Cell,"","",CL
CL:0000084,MONDO:0006188,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0006188,EBV-positive T-cell lymphoproliferative disorder of childhood,biolink:Disease,"","",MONDO,CL:0000084,T cell,biolink:Cell,"","",CL
CL:0000084,MONDO:0005525,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0005525,T-cell leukemia,biolink:Disease,"","",MONDO,CL:0000084,T cell,biolink:Cell,"","",CL
CL:0000084,MONDO:0004963,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0004963,T-cell acute lymphoblastic leukemia,biolink:Disease,"","",MONDO,CL:0000084,T cell,biolink:Cell,"","",CL
CL:0000094,HP:0001911,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0001911,Abnormal granulocyte morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000094,granulocyte,biolink:Cell,"","",CL
CL:0000097,HP:0100494,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0100494,Abnormal mast cell morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000097,mast cell,biolink:Cell,"","",CL
CL:0000097,MONDO:0002724,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0002724,mast cell neoplasm,biolink:Disease,"","",MONDO,CL:0000097,mast cell,biolink:Cell,"","",CL
CL:0000097,MONDO:0019024,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0019024,mast cell sarcoma,biolink:Disease,"","",MONDO,CL:0000097,mast cell,biolink:Cell,"","",CL
CL:0000100,MONDO:0020128,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0020128,motor neuron disorder,biolink:Disease,"","",MONDO,CL:0000100,motor neuron,biolink:Cell,"","",CL
CL:0000100,HP:0002450,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0002450,Abnormal motor neuron morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000100,motor neuron,biolink:Cell,"","",CL
CL:0000111,HP:0003134,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0003134,Abnormality of peripheral nerve conduction (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000111,"",biolink:Cell,"","",CL
CL:0000115,MONDO:0006282,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0006282,lymphangiosarcoma,biolink:Disease,"","",MONDO,CL:0000115,endothelial cell,biolink:Cell,"","",CL
CL:0000125,HP:0100705,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0100705,Abnormal glial cell morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000125,glial cell,biolink:Cell,"","",CL
CL:0000125,MONDO:0021042,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0021042,glioma,biolink:Disease,"","",MONDO,CL:0000125,glial cell,biolink:Cell,"","",CL
CL:0000127,HP:0100707,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0100707,Abnormal astrocyte morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000127,astrocyte,biolink:Cell,"","",CL
CL:0000127,MONDO:0019781,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0019781,astrocytoma (excluding glioblastoma),biolink:Disease,"","",MONDO,CL:0000127,astrocyte,biolink:Cell,"","",CL
CL:0000128,HP:0100706,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0100706,Abnormal oligodendroglia morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000128,oligodendrocyte,biolink:Cell,"","",CL
CL:0000129,HP:0100708,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0100708,Abnormal microglia morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000129,microglial cell,biolink:Cell,"","",CL
CL:0000136,MONDO:0003431,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0003431,lipoadenoma,biolink:Disease,"","",MONDO,CL:0000136,fat cell,biolink:Cell,"","",CL
CL:0000136,MONDO:0006075,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0006075,adrenal gland myelolipoma,biolink:Disease,"","",MONDO,CL:0000136,fat cell,biolink:Cell,"","",CL
CL:0000138,MONDO:0008977,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0008977,chondrosarcoma,biolink:Disease,"","",MONDO,CL:0000138,chondrocyte,biolink:Cell,"","",CL
CL:0000138,MONDO:0024469,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0024469,chondrogenic neoplasm,biolink:Disease,"","",MONDO,CL:0000138,chondrocyte,biolink:Cell,"","",CL
CL:0000148,MONDO:0005073,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0005073,melanocytic nevus,biolink:Disease,"","",MONDO,CL:0000148,melanocyte,biolink:Cell,"","",CL
CL:0000148,MONDO:0021143,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0021143,melanocytic neoplasm,biolink:Disease,"","",MONDO,CL:0000148,melanocyte,biolink:Cell,"","",CL
CL:0000148,MONDO:0006582,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0006582,mongolian spot,biolink:Disease,"","",MONDO,CL:0000148,melanocyte,biolink:Cell,"","",CL
CL:0000160,MONDO:0018017,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0018017,goblet cell carcinoma,biolink:Disease,"","",MONDO,CL:0000160,goblet cell,biolink:Cell,"","",CL
CL:0000166,MONDO:0021072,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0021072,sympathetic paraganglioma,biolink:Disease,"","",MONDO,CL:0000166,chromaffin cell,biolink:Cell,"","",CL
CL:0000168,MONDO:0024677,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0024677,pancreatic insulinoma,biolink:Disease,"","",MONDO,CL:0000168,insulin secreting cell,biolink:Cell,"","",CL
CL:0000169,MONDO:0005147,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0005147,type 1 diabetes mellitus,biolink:Disease,"","",MONDO,CL:0000169,type B pancreatic cell,biolink:Cell,"","",CL
CL:0000169,HP:0006279,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0006279,Beta-cell dysfunction (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000169,type B pancreatic cell,biolink:Cell,"","",CL
CL:0000169,HP:0006274,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0006274,Reduced pancreatic beta cells (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000169,type B pancreatic cell,biolink:Cell,"","",CL
CL:0000173,MONDO:0002994,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0002994,pancreatic delta cell neuroendocrine tumor,biolink:Disease,"","",MONDO,CL:0000173,pancreatic D cell,biolink:Cell,"","",CL
CL:0000178,HP:0010789,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0010789,Abnormality of the Leydig cells (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000178,Leydig cell,biolink:Cell,"","",CL
CL:0000178,MONDO:0036595,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0036595,ovarian Sertoli-Leydig cell tumor,biolink:Disease,"","",MONDO,CL:0000178,Leydig cell,biolink:Cell,"","",CL
CL:0000182,HP:0031137,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0031137,Storage in hepatocytes (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000182,hepatocyte,biolink:Cell,"","",CL
CL:0000182,MONDO:0007256,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0007256,hepatocellular carcinoma,biolink:Disease,"","",MONDO,CL:0000182,hepatocyte,biolink:Cell,"","",CL
CL:0000182,MONDO:0006243,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0006243,hepatoid adenocarcinoma,biolink:Disease,"","",MONDO,CL:0000182,hepatocyte,biolink:Cell,"","",CL
CL:0000185,MONDO:0002380,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0002380,myoepithelial tumor,biolink:Disease,"","",MONDO,CL:0000185,myoepithelial cell,biolink:Cell,"","",CL
CL:0000187,MONDO:0003061,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0003061,benign muscle neoplasm,biolink:Disease,"","",MONDO,CL:0000187,muscle cell,biolink:Cell,"","",CL
CL:0000187,HP:0100299,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0100299,Muscle fiber inclusion bodies (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000187,muscle cell,biolink:Cell,"","",CL
CL:0000187,MONDO:0021545,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0021545,myomatous neoplasm,biolink:Disease,"","",MONDO,CL:0000187,muscle cell,biolink:Cell,"","",CL
CL:0000187,MONDO:0017416,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0017416,postpoliomyelitis syndrome,biolink:Disease,"","",MONDO,CL:0000187,muscle cell,biolink:Cell,"","",CL
CL:0000188,HP:0004303,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0004303,Abnormal muscle fiber morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000188,cell of skeletal muscle,biolink:Cell,"","",CL
CL:0000192,MONDO:0006975,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0006975,smooth muscle tumor,biolink:Disease,"","",MONDO,CL:0000192,smooth muscle cell,biolink:Cell,"","",CL
CL:0000192,MONDO:0002924,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0002924,smooth muscle cancer,biolink:Disease,"","",MONDO,CL:0000192,smooth muscle cell,biolink:Cell,"","",CL
CL:0000210,MONDO:0024341,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0024341,retinal cell neoplasm,biolink:Disease,"","",MONDO,CL:0000210,photoreceptor cell,biolink:Cell,"","",CL
CL:0000216,MONDO:0000378,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0000378,malignant Sertoli cell tumor,biolink:Disease,"","",MONDO,CL:0000216,Sertoli cell,biolink:Cell,"","",CL
CL:0000222,MONDO:0006856,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0006856,mesothelial neoplasm,biolink:Disease,"","",MONDO,CL:0000222,mesodermal cell,biolink:Cell,"","",CL
CL:0000232,HP:0001876,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0001876,Pancytopenia (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000232,erythrocyte,biolink:Cell,"","",CL
CL:0000232,HP:0001877,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0001877,Abnormal erythrocyte morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000232,erythrocyte,biolink:Cell,"","",CL
CL:0000232,HP:0410064,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0410064,Increased level of galactitol in red blood cells (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000232,erythrocyte,biolink:Cell,"","",CL
CL:0000232,HP:0410063,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0410063,Increased level of galactonate in red blood cells (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000232,erythrocyte,biolink:Cell,"","",CL
CL:0000232,HP:0020054,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0020054,Abnormal erythrocyte physiology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000232,erythrocyte,biolink:Cell,"","",CL
CL:0000232,HP:0410196,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0410196,Abnormal uridine diphosphate glucose-4-epimerase level in red blood cells (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000232,erythrocyte,biolink:Cell,"","",CL
CL:0000232,HP:0410184,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0410184,Abnormal glucose-6-phosphate dehydrogenase level in red blood cells (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000232,erythrocyte,biolink:Cell,"","",CL
CL:0000232,MONDO:0044347,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0044347,erythrocyte disorder,biolink:Disease,"","",MONDO,CL:0000232,erythrocyte,biolink:Cell,"","",CL
CL:0000232,HP:0012187,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0012187,Increased erythrocyte protoporphyrin concentration (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000232,erythrocyte,biolink:Cell,"","",CL
CL:0000233,MONDO:0002245,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0002245,blood platelet disease,biolink:Disease,"","",MONDO,CL:0000233,platelet,biolink:Cell,"","",CL
CL:0000233,HP:0001872,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0001872,Abnormality of thrombocytes (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000233,platelet,biolink:Cell,"","",CL
CL:0000233,MONDO:0000009,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0000009,"inherited bleeding disorder, platelet-type",biolink:Disease,"","",MONDO,CL:0000233,platelet,biolink:Cell,"","",CL
