branch,CellType,n_signif,hypergeo_p,hypergeo_q
Abnormality of the genitourinary system,Antigen presenting cells,2,0.999652450653848,1
Abnormality of the genitourinary system,Astrocytes,0,1,1
Abnormality of the genitourinary system,Bipolar cells,0,1,1
Abnormality of the genitourinary system,Bronchiolar and alveolar epithelial cells,0,1,1
Abnormality of the genitourinary system,CCL19 CCL21 positive cells,0,1,1
Abnormality of the genitourinary system,CLC IL5RA positive cells,0,1,1
Abnormality of the genitourinary system,CSH1 CSH2 positive cells,0,1,1
Abnormality of the genitourinary system,Cardiomyocytes,0,1,1
Abnormality of the genitourinary system,Chromaffin cells,0,1,1
Abnormality of the genitourinary system,Ciliated epithelial cells,22,6.22489627126755e-07,1.40287906211005e-05
Abnormality of the genitourinary system,Corneal and conjunctival epithelial cells,0,1,1
Abnormality of the genitourinary system,Ductal cells,15,2.16870385480989e-09,6.07237079346769e-08
Abnormality of the genitourinary system,ELF3 AGBL2 positive cells,0,1,1
Abnormality of the genitourinary system,ENS glia,6,0.757826132275455,1
Abnormality of the genitourinary system,ENS neurons,0,1,1
Abnormality of the genitourinary system,Endocardial cells,0,1,1
Abnormality of the genitourinary system,Epicardial fat cells,1,0.177974163350115,1
Abnormality of the genitourinary system,Erythroblasts,0,1,1
Abnormality of the genitourinary system,Excitatory neurons,3,0.999636321306123,1
Abnormality of the genitourinary system,Extravillous trophoblasts,0,1,1
Abnormality of the genitourinary system,Ganglion cells,3,0.990497657043195,1
Abnormality of the genitourinary system,Goblet cells,0,1,1
Abnormality of the genitourinary system,Granule neurons,0,1,1
Abnormality of the genitourinary system,Hematopoietic stem cells,1,0.951758582014595,1
Abnormality of the genitourinary system,Hepatoblasts,2,0.946858240933654,1
Abnormality of the genitourinary system,Horizontal cells,10,3.51953213663619e-07,8.23303213734643e-06
Abnormality of the genitourinary system,IGFBP1 DKK1 positive cells,0,1,1
Abnormality of the genitourinary system,Inhibitory interneurons,1,0.985308338199758,1
Abnormality of the genitourinary system,Inhibitory neurons,0,1,1
Abnormality of the genitourinary system,Intestinal epithelial cells,5,0.0258655430192898,0.245125761536654
Abnormality of the genitourinary system,Islet endocrine cells,5,0.286437751148233,1
Abnormality of the genitourinary system,Lens fibre cells,0,1,1
Abnormality of the genitourinary system,Limbic system neurons,2,0.999908809269412,1
Abnormality of the genitourinary system,Lymphatic endothelial cells,1,0.783867590574524,1
Abnormality of the genitourinary system,Lymphoid cells,3,0.999112946987889,1
Abnormality of the genitourinary system,MUC13 DMBT1 positive cells,0,1,1
Abnormality of the genitourinary system,Megakaryocytes,5,0.186719579125166,1
Abnormality of the genitourinary system,Mesangial cells,1,0.995545531317911,1
Abnormality of the genitourinary system,Mesothelial cells,10,8.4352535775835e-07,1.85575578706837e-05
Abnormality of the genitourinary system,Metanephric cells,19,2.82407693551744e-20,1.27290101874055e-18
Abnormality of the genitourinary system,Microglia,0,1,1
Abnormality of the genitourinary system,Myeloid cells,8,0.669121313509216,1
Abnormality of the genitourinary system,Neuroendocrine cells,0,1,1
Abnormality of the genitourinary system,Oligodendrocytes,0,1,1
Abnormality of the genitourinary system,PAEP MECOM positive cells,1,0.506436104364504,1
Abnormality of the genitourinary system,PDE1C ACSM3 positive cells,0,1,1
Abnormality of the genitourinary system,PDE11A FAM19A2 positive cells,0,1,1
Abnormality of the genitourinary system,Parietal and chief cells,0,1,1
Abnormality of the genitourinary system,Photoreceptor cells,10,0.11245167552446,0.844758928330088
Abnormality of the genitourinary system,Purkinje neurons,0,1,1
Abnormality of the genitourinary system,Retinal pigment cells,1,0.992524863565987,1
Abnormality of the genitourinary system,Retinal progenitors and Muller glia,21,0.000316460128937254,0.00487348598563371
Abnormality of the genitourinary system,SATB2 LRRC7 positive cells,0,1,1
Abnormality of the genitourinary system,SKOR2 NPSR1 positive cells,0,1,1
Abnormality of the genitourinary system,SLC24A4 PEX5L positive cells,0,1,1
Abnormality of the genitourinary system,SLC26A4 PAEP positive cells,48,9.31010146350666e-34,6.88202700182413e-32
Abnormality of the genitourinary system,STC2 TLX1 positive cells,0,1,1
Abnormality of the genitourinary system,Satellite cells,9,0.411928508108523,1
Abnormality of the genitourinary system,Schwann cells,2,0.885489351170756,1
Abnormality of the genitourinary system,Skeletal muscle cells,0,1,1
Abnormality of the genitourinary system,Smooth muscle cells,11,0.0216352571502619,0.211544736580339
Abnormality of the genitourinary system,Squamous epithelial cells,1,0.986958416630055,1
Abnormality of the genitourinary system,Stellate cells,4,0.190537176596873,1
Abnormality of the genitourinary system,Stromal cells,5,0.952741206468717,1
Abnormality of the genitourinary system,Sympathoblasts,0,1,1
Abnormality of the genitourinary system,Syncytiotrophoblasts and villous cytotrophoblasts,0,1,1
Abnormality of the genitourinary system,Thymic epithelial cells,0,1,1
Abnormality of the genitourinary system,Thymocytes,1,0.999905113376863,1
Abnormality of the genitourinary system,Trophoblast giant cells,0,1,1
Abnormality of the genitourinary system,Unipolar brush cells,0,1,1
Abnormality of the genitourinary system,Ureteric bud cells,4,0.0297213313996749,0.280229696054078
Abnormality of the genitourinary system,Vascular endothelial cells,0,1,1
Abnormality of the genitourinary system,Visceral neurons,0,1,1
Abnormality of the immune system,AFP ALB positive cells,5,0.905326556883066,1
Abnormality of the immune system,Acinar cells,2,0.935070487323044,1
Abnormality of the immune system,Adrenocortical cells,0,1,1
Abnormality of the immune system,Amacrine cells,0,1,1
Abnormality of the immune system,Antigen presenting cells,100,1.50340417957696e-51,2.77829092385823e-49
Abnormality of the immune system,Astrocytes,0,1,1
Abnormality of the immune system,Bipolar cells,0,1,1
Abnormality of the immune system,Bronchiolar and alveolar epithelial cells,1,0.978395854579986,1
Abnormality of the immune system,CCL19 CCL21 positive cells,5,0.0163962342870292,0.165405417217363
Abnormality of the immune system,CLC IL5RA positive cells,7,0.62350918505884,1
Abnormality of the immune system,CSH1 CSH2 positive cells,0,1,1
Abnormality of the immune system,Cardiomyocytes,6,0.996349849923564,1
Abnormality of the immune system,Chromaffin cells,0,1,1
Abnormality of the immune system,Ciliated epithelial cells,16,0.114631763427875,0.857649792772121
Abnormality of the immune system,Corneal and conjunctival epithelial cells,1,0.733345072194564,1
Abnormality of the immune system,Ductal cells,2,0.903614256843429,1
Abnormality of the immune system,ELF3 AGBL2 positive cells,6,0.975596812642829,1
Abnormality of the immune system,ENS glia,0,1,1
Abnormality of the immune system,ENS neurons,0,1,1
Abnormality of the immune system,Endocardial cells,0,1,1
Abnormality of the immune system,Epicardial fat cells,0,1,1
Abnormality of the immune system,Erythroblasts,4,0.984017716786402,1
Abnormality of the immune system,Excitatory neurons,0,1,1
Abnormality of the immune system,Extravillous trophoblasts,0,1,1
Abnormality of the immune system,Ganglion cells,0,1,1
Abnormality of the immune system,Goblet cells,0,1,1
Abnormality of the immune system,Granule neurons,0,1,1
Abnormality of the immune system,Hematopoietic stem cells,30,3.24061793596285e-16,1.2476379053457e-14
Abnormality of the immune system,Hepatoblasts,4,0.963044345778968,1
Abnormality of the immune system,Horizontal cells,0,1,1
Abnormality of the immune system,IGFBP1 DKK1 positive cells,0,1,1
Abnormality of the immune system,Inhibitory interneurons,0,1,1
Abnormality of the immune system,Inhibitory neurons,0,1,1
Abnormality of the immune system,Intestinal epithelial cells,0,1,1
Abnormality of the immune system,Islet endocrine cells,0,1,1
Abnormality of the immune system,Lens fibre cells,0,1,1
Abnormality of the immune system,Limbic system neurons,0,1,1
Abnormality of the immune system,Lymphatic endothelial cells,0,1,1
Abnormality of the immune system,Lymphoid cells,112,3.53017623680672e-59,1.30475313712377e-56
Abnormality of the immune system,MUC13 DMBT1 positive cells,0,1,1
Abnormality of the immune system,Megakaryocytes,6,0.439110072350292,1
Abnormality of the immune system,Mesangial cells,0,1,1
Abnormality of the immune system,Mesothelial cells,7,0.0104240138697226,0.112652500767528
Abnormality of the immune system,Metanephric cells,0,1,1
Abnormality of the immune system,Microglia,26,1.71815192711005e-17,6.7556271517008e-16
Abnormality of the immune system,Myeloid cells,78,1.35223552944809e-35,1.04122135767503e-33
Abnormality of the immune system,Neuroendocrine cells,0,1,1
Abnormality of the immune system,Oligodendrocytes,0,1,1
Abnormality of the immune system,PAEP MECOM positive cells,0,1,1
Abnormality of the immune system,PDE1C ACSM3 positive cells,0,1,1
Abnormality of the immune system,PDE11A FAM19A2 positive cells,0,1,1
Abnormality of the immune system,Parietal and chief cells,0,1,1
Abnormality of the immune system,Photoreceptor cells,0,1,1
Abnormality of the immune system,Purkinje neurons,0,1,1
Abnormality of the immune system,Retinal pigment cells,0,1,1
Abnormality of the immune system,Retinal progenitors and Muller glia,0,1,1
Abnormality of the immune system,SATB2 LRRC7 positive cells,0,1,1
Abnormality of the immune system,SKOR2 NPSR1 positive cells,0,1,1
Abnormality of the immune system,SLC24A4 PEX5L positive cells,0,1,1
Abnormality of the immune system,SLC26A4 PAEP positive cells,0,1,1
Abnormality of the immune system,STC2 TLX1 positive cells,20,1.61386150870509e-12,5.05494248828305e-11
Abnormality of the immune system,Satellite cells,0,1,1
Abnormality of the immune system,Schwann cells,0,1,1
Abnormality of the immune system,Skeletal muscle cells,0,1,1
Abnormality of the immune system,Smooth muscle cells,1,0.999955762470115,1
Abnormality of the immune system,Squamous epithelial cells,4,0.943488284434473,1
Abnormality of the immune system,Stellate cells,0,1,1
Abnormality of the immune system,Stromal cells,0,1,1
Abnormality of the immune system,Sympathoblasts,0,1,1
Abnormality of the immune system,Syncytiotrophoblasts and villous cytotrophoblasts,0,1,1
Abnormality of the immune system,Thymic epithelial cells,8,0.000110216952149364,0.00185860984136226
Abnormality of the immune system,Thymocytes,105,6.22629730171929e-63,2.87654935339431e-60
Abnormality of the immune system,Trophoblast giant cells,0,1,1
Abnormality of the immune system,Unipolar brush cells,0,1,1
Abnormality of the immune system,Ureteric bud cells,3,0.345929739046656,1
Abnormality of the immune system,Vascular endothelial cells,0,1,1
Abnormality of the immune system,Visceral neurons,0,1,1
Constitutional symptom,AFP ALB positive cells,0,1,1
Constitutional symptom,Acinar cells,2,0.0752546873151923,0.604655052862936
Constitutional symptom,Adrenocortical cells,3,0.180645004267769,1
Constitutional symptom,Amacrine cells,3,0.275940888352517,1
Constitutional symptom,Antigen presenting cells,8,0.000476114567766841,0.00692802930104821
Constitutional symptom,Astrocytes,0,1,1
Constitutional symptom,Bipolar cells,0,1,1
Constitutional symptom,Bronchiolar and alveolar epithelial cells,0,1,1
Constitutional symptom,CCL19 CCL21 positive cells,0,1,1
Constitutional symptom,CLC IL5RA positive cells,4,0.00775343371441939,0.0868384576014972
Constitutional symptom,CSH1 CSH2 positive cells,0,1,1
Constitutional symptom,Cardiomyocytes,5,0.0164689376450188,0.165405417217363
Constitutional symptom,Chromaffin cells,0,1,1
Constitutional symptom,Ciliated epithelial cells,0,1,1
Constitutional symptom,Corneal and conjunctival epithelial cells,0,1,1
Constitutional symptom,Ductal cells,0,1,1
Constitutional symptom,ELF3 AGBL2 positive cells,5,0.00688081337128628,0.0775350189642503
Constitutional symptom,ENS glia,0,1,1
Constitutional symptom,ENS neurons,0,1,1
Constitutional symptom,Endocardial cells,0,1,1
Constitutional symptom,Epicardial fat cells,0,1,1
Constitutional symptom,Erythroblasts,3,0.0715523178667656,0.582505213294197
Constitutional symptom,Excitatory neurons,0,1,1
Constitutional symptom,Extravillous trophoblasts,0,1,1
Constitutional symptom,Ganglion cells,3,0.194976218477147,1
Constitutional symptom,Goblet cells,0,1,1
Constitutional symptom,Granule neurons,0,1,1
Constitutional symptom,Hematopoietic stem cells,2,0.103129302154995,0.787532852819959
Constitutional symptom,Hepatoblasts,0,1,1
Constitutional symptom,Horizontal cells,0,1,1
Constitutional symptom,IGFBP1 DKK1 positive cells,0,1,1
Constitutional symptom,Inhibitory interneurons,0,1,1
Constitutional symptom,Inhibitory neurons,0,1,1
Constitutional symptom,Intestinal epithelial cells,0,1,1
Constitutional symptom,Islet endocrine cells,0,1,1
Constitutional symptom,Lens fibre cells,0,1,1
Constitutional symptom,Limbic system neurons,3,0.354055774052918,1
Constitutional symptom,Lymphatic endothelial cells,0,1,1
Constitutional symptom,Lymphoid cells,3,0.33252279752297,1
Constitutional symptom,MUC13 DMBT1 positive cells,0,1,1
Constitutional symptom,Megakaryocytes,0,1,1
Constitutional symptom,Mesangial cells,0,1,1
Constitutional symptom,Mesothelial cells,0,1,1
Constitutional symptom,Metanephric cells,0,1,1
Constitutional symptom,Microglia,1,0.309881903621153,1
Constitutional symptom,Myeloid cells,8,0.000203196466779901,0.00326527887486311
Constitutional symptom,Neuroendocrine cells,0,1,1
Constitutional symptom,Oligodendrocytes,0,1,1
Constitutional symptom,PAEP MECOM positive cells,0,1,1
Constitutional symptom,PDE1C ACSM3 positive cells,0,1,1
Constitutional symptom,PDE11A FAM19A2 positive cells,0,1,1
Constitutional symptom,Parietal and chief cells,0,1,1
Constitutional symptom,Photoreceptor cells,0,1,1
Constitutional symptom,Purkinje neurons,0,1,1
Constitutional symptom,Retinal pigment cells,0,1,1
Constitutional symptom,Retinal progenitors and Muller glia,0,1,1
Constitutional symptom,SATB2 LRRC7 positive cells,0,1,1
Constitutional symptom,SKOR2 NPSR1 positive cells,0,1,1
Constitutional symptom,SLC24A4 PEX5L positive cells,0,1,1
Constitutional symptom,SLC26A4 PAEP positive cells,0,1,1
Constitutional symptom,STC2 TLX1 positive cells,1,0.274452462698297,1
Constitutional symptom,Satellite cells,0,1,1
Constitutional symptom,Schwann cells,0,1,1
Constitutional symptom,Skeletal muscle cells,3,0.429509383220842,1
Constitutional symptom,Smooth muscle cells,0,1,1
Constitutional symptom,Squamous epithelial cells,2,0.182986199001736,1
Constitutional symptom,Stellate cells,0,1,1
Constitutional symptom,Stromal cells,0,1,1
Constitutional symptom,Sympathoblasts,0,1,1
Constitutional symptom,Syncytiotrophoblasts and villous cytotrophoblasts,0,1,1
Constitutional symptom,Thymic epithelial cells,0,1,1
Constitutional symptom,Thymocytes,0,1,1
Constitutional symptom,Trophoblast giant cells,0,1,1
Constitutional symptom,Unipolar brush cells,0,1,1
Constitutional symptom,Ureteric bud cells,0,1,1
Constitutional symptom,Vascular endothelial cells,0,1,1
Constitutional symptom,Visceral neurons,0,1,1
Abnormality of the musculoskeletal system,AFP ALB positive cells,3,0.999956614206522,1
Abnormality of the musculoskeletal system,Acinar cells,2,0.997127567075852,1
Abnormality of the musculoskeletal system,Adrenocortical cells,6,0.999999441644829,1
Abnormality of the musculoskeletal system,Amacrine cells,18,0.99688552837687,1
Abnormality of the musculoskeletal system,Antigen presenting cells,6,0.999999998594323,1
Abnormality of the musculoskeletal system,Astrocytes,27,5.55502026662595e-05,0.000996667713856772
Abnormality of the musculoskeletal system,Bipolar cells,4,0.973468671206688,1
Abnormality of the musculoskeletal system,Bronchiolar and alveolar epithelial cells,1,0.999068001068022,1
Abnormality of the musculoskeletal system,CCL19 CCL21 positive cells,3,0.525593190468132,1
Abnormality of the musculoskeletal system,CLC IL5RA positive cells,13,0.565938256741075,1
Abnormality of the musculoskeletal system,CSH1 CSH2 positive cells,0,1,1
Abnormality of the musculoskeletal system,Cardiomyocytes,47,1.15528522225848e-05,0.000232061640297138
Abnormality of the musculoskeletal system,Chromaffin cells,11,0.0118910779481076,0.126268040496838
Abnormality of the musculoskeletal system,Ciliated epithelial cells,6,0.999979213509555,1
Abnormality of the musculoskeletal system,Corneal and conjunctival epithelial cells,0,1,1
Abnormality of the musculoskeletal system,Ductal cells,1,0.999277549904772,1
Abnormality of the musculoskeletal system,ELF3 AGBL2 positive cells,26,0.104380202714105,0.793804998418378
Abnormality of the musculoskeletal system,ENS glia,41,0.000127965741519629,0.00211143473507387
Abnormality of the musculoskeletal system,ENS neurons,7,0.503822878074409,1
Abnormality of the musculoskeletal system,Endocardial cells,0,1,1
Abnormality of the musculoskeletal system,Epicardial fat cells,1,0.468656474014877,1
Abnormality of the musculoskeletal system,Erythroblasts,5,0.999822380128832,1
Abnormality of the musculoskeletal system,Excitatory neurons,31,0.884736450696561,1
Abnormality of the musculoskeletal system,Extravillous trophoblasts,1,0.223446725588796,1
Abnormality of the musculoskeletal system,Ganglion cells,16,0.988068862307657,1
Abnormality of the musculoskeletal system,Goblet cells,0,1,1
Abnormality of the musculoskeletal system,Granule neurons,13,0.946190525311512,1
Abnormality of the musculoskeletal system,Hematopoietic stem cells,6,0.908250780566454,1
Abnormality of the musculoskeletal system,Hepatoblasts,7,0.990918643641128,1
Abnormality of the musculoskeletal system,Horizontal cells,0,1,1
Abnormality of the musculoskeletal system,IGFBP1 DKK1 positive cells,1,0.636490140764175,1
Abnormality of the musculoskeletal system,Inhibitory interneurons,18,0.0793965596484517,0.635172477187613
Abnormality of the musculoskeletal system,Inhibitory neurons,12,0.982272628693585,1
Abnormality of the musculoskeletal system,Intestinal epithelial cells,3,0.90807460638588,1
Abnormality of the musculoskeletal system,Islet endocrine cells,3,0.999319464105385,1
Abnormality of the musculoskeletal system,Lens fibre cells,0,1,1
Abnormality of the musculoskeletal system,Limbic system neurons,22,0.996302237973077,1
Abnormality of the musculoskeletal system,Lymphatic endothelial cells,0,1,1
Abnormality of the musculoskeletal system,Lymphoid cells,11,0.999999707231525,1
Abnormality of the musculoskeletal system,MUC13 DMBT1 positive cells,0,1,1
Abnormality of the musculoskeletal system,Megakaryocytes,0,1,1
Abnormality of the musculoskeletal system,Mesangial cells,32,0.000110631538176325,0.00185860984136226
Abnormality of the musculoskeletal system,Mesothelial cells,0,1,1
Abnormality of the musculoskeletal system,Metanephric cells,0,1,1
Abnormality of the musculoskeletal system,Microglia,1,0.998634557872438,1
Abnormality of the musculoskeletal system,Myeloid cells,11,0.99995098800851,1
Abnormality of the musculoskeletal system,Neuroendocrine cells,0,1,1
Abnormality of the musculoskeletal system,Oligodendrocytes,9,0.679928179147307,1
Abnormality of the musculoskeletal system,PAEP MECOM positive cells,8,0.000562644770419062,0.0079371567613315
Abnormality of the musculoskeletal system,PDE1C ACSM3 positive cells,0,1,1
Abnormality of the musculoskeletal system,PDE11A FAM19A2 positive cells,12,0.0647064224727774,0.538637246530147
Abnormality of the musculoskeletal system,Parietal and chief cells,0,1,1
Abnormality of the musculoskeletal system,Photoreceptor cells,4,0.999998902492461,1
Abnormality of the musculoskeletal system,Purkinje neurons,15,0.960698733391122,1
Abnormality of the musculoskeletal system,Retinal pigment cells,2,0.999997533481439,1
Abnormality of the musculoskeletal system,Retinal progenitors and Muller glia,21,0.94761511329509,1
Abnormality of the musculoskeletal system,SATB2 LRRC7 positive cells,21,0.924786970829439,1
Abnormality of the musculoskeletal system,SKOR2 NPSR1 positive cells,15,0.953735221624798,1
Abnormality of the musculoskeletal system,SLC24A4 PEX5L positive cells,13,0.963917526193269,1
Abnormality of the musculoskeletal system,SLC26A4 PAEP positive cells,9,0.988361514508382,1
Abnormality of the musculoskeletal system,STC2 TLX1 positive cells,0,1,1
Abnormality of the musculoskeletal system,Satellite cells,89,5.52799677378285e-30,3.29539936708087e-28
Abnormality of the musculoskeletal system,Schwann cells,17,0.0538624172076332,0.465129658877131
Abnormality of the musculoskeletal system,Skeletal muscle cells,152,2.02497806844323e-55,4.67769933810385e-53
Abnormality of the musculoskeletal system,Smooth muscle cells,29,0.00251102173067372,0.0315671303284696
Abnormality of the musculoskeletal system,Squamous epithelial cells,5,0.997778701990653,1
Abnormality of the musculoskeletal system,Stellate cells,17,0.000347634072754679,0.00522298997114347
Abnormality of the musculoskeletal system,Stromal cells,79,6.64569715739155e-19,2.79119280610445e-17
Abnormality of the musculoskeletal system,Sympathoblasts,3,0.294170343910729,1
Abnormality of the musculoskeletal system,Syncytiotrophoblasts and villous cytotrophoblasts,1,0.118770265401705,0.885030042186901
Abnormality of the musculoskeletal system,Thymic epithelial cells,2,0.796737770336172,1
Abnormality of the musculoskeletal system,Thymocytes,8,0.999999127391627,1
Abnormality of the musculoskeletal system,Trophoblast giant cells,0,1,1
Abnormality of the musculoskeletal system,Unipolar brush cells,12,0.38083107297075,1
Abnormality of the musculoskeletal system,Ureteric bud cells,0,1,1
Abnormality of the musculoskeletal system,Vascular endothelial cells,0,1,1
Abnormality of the musculoskeletal system,Visceral neurons,30,0.000513193799371456,0.00735179954448411
Abnormality of the endocrine system,AFP ALB positive cells,0,1,1
Abnormality of the endocrine system,Acinar cells,2,0.303905524401129,1
Abnormality of the endocrine system,Adrenocortical cells,59,8.52905291838167e-59,2.62694829886156e-56
Abnormality of the endocrine system,Amacrine cells,0,1,1
Abnormality of the endocrine system,Antigen presenting cells,2,0.944584511142203,1
Abnormality of the endocrine system,Astrocytes,0,1,1
Abnormality of the endocrine system,Bipolar cells,3,0.120539266135677,0.891026255274926
Abnormality of the endocrine system,Bronchiolar and alveolar epithelial cells,0,1,1
Abnormality of the endocrine system,CCL19 CCL21 positive cells,0,1,1
Abnormality of the endocrine system,CLC IL5RA positive cells,0,1,1
Abnormality of the endocrine system,CSH1 CSH2 positive cells,0,1,1
Abnormality of the endocrine system,Cardiomyocytes,0,1,1
Abnormality of the endocrine system,Chromaffin cells,0,1,1
Abnormality of the endocrine system,Ciliated epithelial cells,0,1,1
Abnormality of the endocrine system,Corneal and conjunctival epithelial cells,0,1,1
Abnormality of the endocrine system,Ductal cells,0,1,1
Abnormality of the endocrine system,ELF3 AGBL2 positive cells,0,1,1
Abnormality of the endocrine system,ENS glia,0,1,1
Abnormality of the endocrine system,ENS neurons,0,1,1
Abnormality of the endocrine system,Endocardial cells,0,1,1
Abnormality of the endocrine system,Epicardial fat cells,0,1,1
Abnormality of the endocrine system,Erythroblasts,0,1,1
Abnormality of the endocrine system,Excitatory neurons,0,1,1
Abnormality of the endocrine system,Extravillous trophoblasts,0,1,1
Abnormality of the endocrine system,Ganglion cells,2,0.890720276427969,1
Abnormality of the endocrine system,Goblet cells,0,1,1
Abnormality of the endocrine system,Granule neurons,0,1,1
Abnormality of the endocrine system,Hematopoietic stem cells,0,1,1
Abnormality of the endocrine system,Hepatoblasts,0,1,1
Abnormality of the endocrine system,Horizontal cells,0,1,1
Abnormality of the endocrine system,IGFBP1 DKK1 positive cells,0,1,1
Abnormality of the endocrine system,Inhibitory interneurons,0,1,1
Abnormality of the endocrine system,Inhibitory neurons,0,1,1
Abnormality of the endocrine system,Intestinal epithelial cells,0,1,1
Abnormality of the endocrine system,Islet endocrine cells,5,0.0222582201697249,0.214235369133602
Abnormality of the endocrine system,Lens fibre cells,0,1,1
Abnormality of the endocrine system,Limbic system neurons,2,0.96766152106013,1
Abnormality of the endocrine system,Lymphatic endothelial cells,0,1,1
Abnormality of the endocrine system,Lymphoid cells,1,0.993874775989526,1
Abnormality of the endocrine system,MUC13 DMBT1 positive cells,0,1,1
Abnormality of the endocrine system,Megakaryocytes,0,1,1
Abnormality of the endocrine system,Mesangial cells,0,1,1
Abnormality of the endocrine system,Mesothelial cells,0,1,1
Abnormality of the endocrine system,Metanephric cells,0,1,1
Abnormality of the endocrine system,Microglia,0,1,1
Abnormality of the endocrine system,Myeloid cells,0,1,1
Abnormality of the endocrine system,Neuroendocrine cells,0,1,1
Abnormality of the endocrine system,Oligodendrocytes,0,1,1
Abnormality of the endocrine system,PAEP MECOM positive cells,0,1,1
